Pet,Furniture,Subway,house_type,district,area,bedroom,suite,garage,floor,rent,condominium,is_condominium_included,taxes,is_taxes_included,fire_insurance,service,total
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,50,1,0,0,1,1500,225,0,0,0,20,30,1775
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,0,1,25,1450,450,0,0,0,19,29,1948
Não aceita,Mobiliado,Metrô próx.,Studio,Liberdade,28,1,0,0,10,1700,360,0,0,0,22,34,2116
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,30,1,0,0,7,1000,448,0,0,0,13,20,1481
Não aceita,Sem mobília,Metrô próx.,Apartamento,Liberdade,34,1,0,0,10,1300,347,0,20,0,17,26,1710
Não aceita,Mobiliado,Metrô próx.,Studio,Bela Vista,28,1,0,0,4,1900,260,0,30,0,25,38,2253
Não aceita,Mobiliado,Metrô próx.,Apartamento,Centro,40,1,0,0,17,1060,500,0,0,0,14,21,1595
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,40,1,1,1,1,1760,517,0,15,0,23,,2315
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,30,1,0,0,1,920,395,0,0,0,12,18,1345
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Liberdade,57,1,0,0,2,1600,314,0,0,0,21,32,1967
Não aceita,Sem mobília,Não próx.,Apartamento,Liberdade,45,1,0,1,1,1070,590,0,9,0,14,21,1704
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Brás,32,1,0,1,12,1850,245,0,65,0,24,37,2221
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,45,1,0,0,6,2130,581,0,78,0,27,43,2859
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,30,1,0,0,4,1200,150,0,0,0,16,24,1390
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,31,1,0,1,11,2000,520,0,83,0,26,40,2669
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,40,1,0,0,17,1060,676,0,0,0,14,21,1771
Não aceita,Mobiliado,Metrô próx.,Studio,Consolação,44,1,0,1,9,2800,650,0,138,0,36,,3624
