Title,Address,Area,Bedroom,Garage,Floor,Pet,Furniture,Subway,Rent,Condominium,Taxes,Fire Insurance,Services,Total,Text
"Apartamento para alugar com 1 quarto, 40m²","Rua da Consolação, Consolação, São Paulo",40 m²,1 quarto,1 vaga,7º andar,Aceita pet,Mobiliado,Metrô próx.,"Aluguel
R$ 2.320","Condomínio
R$ 650","IPTU
R$ 70","Seguro incêndio
R$ 30",,"Total
R$ 3.070","Anúncio novo
Apartamento
Rua da Consolação
Consolação, São Paulo
40 m² 1 quarto
Aluguel R$ 2.320
Total R$ 3.070"
"Apartamento para alugar com 2 quartos, 37m²","Rua Tabatinguera, Liberdade, São Paulo",37 m²,2 quartos,1 vaga,2º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.950","Condomínio
R$ 450","IPTU
R$ 98","Seguro incêndio
R$ 25","Taxa de serviço
R$ 39","Total
R$ 2.562","Apartamento
Exclusivo
Rua Tabatinguera
Liberdade, São Paulo
37 m² 2 quartos
Aluguel R$ 1.950
Total R$ 2.523"
"Apartamento para alugar com 1 quarto, 39m²","Rua Santo Amaro, Bela Vista, São Paulo",39 m²,"1 quarto
(1 suíte)",1 vaga,5º andar,Aceita pet,Mobiliado,Metrô próx.,"Aluguel
R$ 2.300","Condomínio
R$ 642","IPTU
R$ 9","Seguro incêndio
R$ 30","Taxa de serviço
R$ 46","Total
R$ 3.027","Anúncio novo
Apartamento
Exclusivo
Rua Santo Amaro
Bela Vista, São Paulo
39 m² 1 quarto
Aluguel R$ 2.300
Total R$ 2.981"
"Studio para alugar com 1 quarto, 40m²","Avenida Brigadeiro Luís Antônio, Bela Vista, São Paulo",40 m²,1 quarto,1 vaga,10º andar,Aceita pet,Mobiliado,Metrô próx.,"Aluguel
R$ 2.800","Condomínio
R$ 600","IPTU
R$ 40","Seguro incêndio
R$ 36","Taxa de serviço
R$ 56","Total
R$ 3.532","Anúncio novo
Studio e kitnet
Exclusivo
Avenida Brigadeiro Luís Antônio
Bela Vista, São Paulo
40 m² 1 quarto
Aluguel R$ 2.800
Total R$ 3.476"
"Apartamento para alugar com 1 quarto, 40m²","Rua Álvaro de Carvalho, Consolação, São Paulo",40 m²,"1 quarto
(1 suíte)",1 vaga,1º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.760","Condomínio
R$ 517","IPTU
R$ 15","Seguro incêndio
R$ 23",,"Total
R$ 2.315","Anúncio novo
Apartamento
Rua Álvaro de Carvalho
Consolação, São Paulo
40 m² 1 quarto
Aluguel R$ 1.760
Total R$ 2.315"
"Apartamento para alugar com 1 quarto, 47m²","Rua Glicério, Liberdade, São Paulo",47 m²,1 quarto,Sem vaga,2º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.250","Condomínio
R$ 0","IPTU
R$ 0","Seguro incêndio
R$ 16","Taxa de serviço
R$ 25","Total
R$ 1.291","Anúncio novo
Apartamento
Exclusivo
Rua Glicério
Liberdade, São Paulo
47 m² 1 quarto
Aluguel R$ 1.250
Total R$ 1.266"
"Studio para alugar com 1 quarto, 53m²","Rua dos Ingleses, Bela Vista, São Paulo",53 m²,"1 quarto
(1 suíte)",Sem vaga,-,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.600","Condomínio
R$ 0","IPTU
R$ 225","Seguro incêndio
R$ 21","Taxa de serviço
R$ 32","Total
R$ 1.878","Anúncio novo
Studio e kitnet
Rua dos Ingleses
Bela Vista, São Paulo
53 m² 1 quarto
Aluguel R$ 1.600
Total R$ 1.846"
"Apartamento para alugar com 2 quartos, 88m²","Rua do Lavapés, Liberdade, São Paulo",88 m²,2 quartos,Sem vaga,1º andar,Aceita pet,Sem mobília,Não próx.,"Aluguel
R$ 1.970","Condomínio
R$ 200","IPTU
R$ 0","Seguro incêndio
R$ 25","Taxa de serviço
R$ 39","Total
R$ 2.234","Anúncio novo
Baixou o preço
Apartamento
Rua do Lavapés
Liberdade, São Paulo
88 m² 2 quartos
Aluguel R$ 1.970
Total R$ 2.195"
,,,,,,,,,,,,,,,"Studio e kitnet selecionado
Rua da Glória
Liberdade, São Paulo
29 m² 1 quarto
Aluguel R$ 2.200
Total R$ 2.440"
"Studio para alugar com 1 quarto, 30m²","Rua da Glória, Liberdade, São Paulo",,,,,,,,,,,,,,"Studio e kitnet selecionado
Rua da Glória
Liberdade, São Paulo
30 m² 1 quarto
Aluguel R$ 2.200
Total R$ 2.449"
"Apartamento para alugar com 1 quarto, 35m²","Rua Caio Prado, Consolação, São Paulo",35 m²,1 quarto,1 vaga,4º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.870","Condomínio
R$ 490","IPTU
R$ 83","Seguro incêndio
R$ 24",,"Total
R$ 2.467","Anúncio novo
Apartamento
Exclusivo
Rua Caio Prado
Consolação, São Paulo
35 m² 1 quarto
Aluguel R$ 1.870
Total R$ 2.467"
"Apartamento para alugar com 1 quarto, 45m²","Rua Diogo Vaz, Liberdade, São Paulo",45 m²,1 quarto,1 vaga,1º andar,Não aceita,Sem mobília,Não próx.,"Aluguel
R$ 1.070","Condomínio
R$ 590","IPTU
R$ 9","Seguro incêndio
R$ 14","Taxa de serviço
R$ 21","Total
R$ 1.704","Anúncio novo
Baixou o preço
Apartamento
Rua Diogo Vaz
Liberdade, São Paulo
45 m² 1 quarto
Aluguel R$ 1.070
Total R$ 1.683"
"Apartamento para alugar com 1 quarto, 32m²","Avenida Rangel Pestana, Brás, São Paulo",32 m²,1 quarto,1 vaga,12º andar,Aceita pet,Mobiliado,Metrô próx.,"Aluguel
R$ 1.850","Condomínio
R$ 245","IPTU
R$ 65","Seguro incêndio
R$ 24","Taxa de serviço
R$ 37","Total
R$ 2.221","Anúncio novo
Apartamento
Exclusivo
Avenida Rangel Pestana
Brás, São Paulo
32 m² 1 quarto
Aluguel R$ 1.850
Total R$ 2.184"
"Apartamento para alugar com 1 quarto, 45m²","Rua Santo Antônio, Bela Vista, São Paulo",45 m²,1 quarto,Sem vaga,6º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 2.130","Condomínio
R$ 581","IPTU
R$ 78","Seguro incêndio
R$ 27","Taxa de serviço
R$ 43","Total
R$ 2.859","Anúncio novo
Baixou o preço
Apartamento
Exclusivo
Rua Santo Antônio
Bela Vista, São Paulo
45 m² 1 quarto
Aluguel R$ 2.130
Total R$ 2.816"
"Studio para alugar com 1 quarto, 30m²","Rua Santo Amaro, Bela Vista, São Paulo",30 m²,1 quarto,Sem vaga,4º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.200","Condomínio
R$ 150","IPTU
R$ 0","Seguro incêndio
R$ 16","Taxa de serviço
R$ 24","Total
R$ 1.390","Anúncio novo
Studio e kitnet
Exclusivo
Rua Santo Amaro
Bela Vista, São Paulo
30 m² 1 quarto
Aluguel R$ 1.200
Total R$ 1.366"
"Apartamento para alugar com 1 quarto, 31m²","Rua Aurora, Centro, São Paulo",31 m²,1 quarto,1 vaga,11º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 2.000","Condomínio
R$ 520","IPTU
R$ 83","Seguro incêndio
R$ 26","Taxa de serviço
R$ 40","Total
R$ 2.669","Anúncio novo
Apartamento
Rua Aurora
Centro, São Paulo
31 m² 1 quarto
Aluguel R$ 2.000
Total R$ 2.629"
"Apartamento para alugar com 1 quarto, 40m²","Avenida Prestes Maia, Centro, São Paulo",40 m²,1 quarto,Sem vaga,17º andar,Não aceita,Sem mobília,Metrô próx.,"Aluguel
R$ 1.060","Condomínio
R$ 676","IPTU
R$ 0","Seguro incêndio
R$ 14","Taxa de serviço
R$ 21","Total
R$ 1.771","Anúncio novo
Baixou o preço
Apartamento
Exclusivo
Avenida Prestes Maia
Centro, São Paulo
40 m² 1 quarto
Aluguel R$ 1.060
Total R$ 1.750"
"Studio para alugar com 1 quarto, 28m²","Rua Francisca Miquelina, Bela Vista, São Paulo",28 m²,1 quarto,Sem vaga,4º andar,Não aceita,Mobiliado,Metrô próx.,"Aluguel
R$ 1.900","Condomínio
R$ 260","IPTU
R$ 30","Seguro incêndio
R$ 25","Taxa de serviço
R$ 38","Total
R$ 2.253","Anúncio novo
Baixou o preço
Studio e kitnet
Exclusivo
Rua Francisca Miquelina
Bela Vista, São Paulo
28 m² 1 quarto
Aluguel R$ 1.900
Total R$ 2.215"
"Studio para alugar com 1 quarto, 44m²","Rua Álvaro de Carvalho, Consolação, São Paulo",44 m²,1 quarto,1 vaga,9º andar,Não aceita,Mobiliado,Metrô próx.,"Aluguel
R$ 2.800","Condomínio
R$ 650","IPTU
R$ 138","Seguro incêndio
R$ 36",,"Total
R$ 3.624","Anúncio novo
Studio e kitnet
Rua Álvaro de Carvalho
Consolação, São Paulo
44 m² 1 quarto
Aluguel R$ 2.800
Total R$ 3.624"
"Apartamento para alugar com 1 quarto, 57m²","Rua dos Estudantes, Liberdade, São Paulo",57 m²,1 quarto,Sem vaga,2º andar,Aceita pet,Mobiliado,Metrô próx.,"Aluguel
R$ 1.600","Condomínio
R$ 314","IPTU
R$ 0","Seguro incêndio
R$ 21","Taxa de serviço
R$ 32","Total
R$ 1.967","Anúncio novo
Apartamento
Exclusivo
Rua dos Estudantes
Liberdade, São Paulo
57 m² 1 quarto
Aluguel R$ 1.600
Total R$ 1.935"
"Studio para alugar com 1 quarto, 32m²","Avenida Ipiranga, Santa Cecília, São Paulo",32 m²,1 quarto,Sem vaga,9º andar,Aceita pet,Mobiliado,Metrô próx.,"Aluguel
R$ 1.900","Condomínio
R$ 320","IPTU
R$ 32","Seguro incêndio
R$ 25",,"Total
R$ 2.277","Anúncio novo
Studio e kitnet
Avenida Ipiranga
Santa Cecília, São Paulo
32 m² 1 quarto
Aluguel R$ 1.900
Total R$ 2.277"
"Studio para alugar com 1 quarto, 26m²","Avenida Cásper Líbero, Centro, São Paulo",26 m²,1 quarto,Sem vaga,15º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.380","Condomínio
R$ 300","IPTU
R$ 0","Seguro incêndio
R$ 18","Taxa de serviço
R$ 28","Total
R$ 1.726","Anúncio novo
Baixou o preço
Studio e kitnet
Avenida Cásper Líbero
Centro, São Paulo
26 m² 1 quarto
Aluguel R$ 1.380
Total R$ 1.698"
"Apartamento para alugar com 1 quarto, 41m²","Rua Gravataí, Consolação, São Paulo",41 m²,1 quarto,Sem vaga,3º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 2.100","Condomínio
R$ 474","IPTU
R$ 0","Seguro incêndio
R$ 27",,"Total
R$ 2.601","Anúncio novo
Apartamento
Rua Gravataí
Consolação, São Paulo
41 m² 1 quarto
Aluguel R$ 2.100
Total R$ 2.601"
"Studio para alugar com 1 quarto, 29m²","Rua da Glória, Liberdade, São Paulo",29 m²,1 quarto,Sem vaga,8º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.900","Condomínio
R$ 290","IPTU
R$ 45","Seguro incêndio
R$ 25","Taxa de serviço
R$ 38","Total
R$ 2.298","Studio e kitnet
Rua da Glória
Liberdade, São Paulo
29 m² 1 quarto
Aluguel R$ 1.900
Total R$ 2.260"
"Apartamento para alugar com 1 quarto, 50m²","Rua Santa Luzia, Liberdade, São Paulo",50 m²,1 quarto,Sem vaga,1º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.500","Condomínio
R$ 225","IPTU
R$ 0","Seguro incêndio
R$ 20","Taxa de serviço
R$ 30","Total
R$ 1.775","Anúncio novo
Baixou o preço
Apartamento
Exclusivo
Rua Santa Luzia
Liberdade, São Paulo
50 m² 1 quarto
Aluguel R$ 1.500
Total R$ 1.745"
"Apartamento para alugar com 1 quarto, 47m²","Avenida Rangel Pestana, Liberdade, São Paulo",47 m²,1 quarto,Sem vaga,7º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 920","Condomínio
R$ 426","IPTU
R$ 30","Seguro incêndio
R$ 12","Taxa de serviço
R$ 18","Total
R$ 1.406","Anúncio novo
Baixou o preço
Apartamento
Avenida Rangel Pestana
Liberdade, São Paulo
47 m² 1 quarto
Aluguel R$ 920
Total R$ 1.388"
"Apartamento para alugar com 1 quarto, 40m²","Avenida Rangel Pestana, Liberdade, São Paulo",40 m²,1 quarto,Sem vaga,2º andar,Aceita pet,Sem mobília,Metrô próx.,"Aluguel
R$ 1.050","Condomínio
R$ 400","IPTU
R$ 50","Seguro incêndio
R$ 14","Taxa de serviço
R$ 21","Total
R$ 1.535","Apartamento
Exclusivo
Avenida Rangel Pestana
Liberdade, São Paulo
40 m² 1 quarto
Aluguel R$ 1.050
Total R$ 1.514"
"Apartamento para alugar com 1 quarto, 30m²","Avenida Rangel Pestana, Brás, São Paulo",30 m²,1 quarto,Sem vaga,8º andar,Aceita pet,Mobiliado,Metrô próx.,"Aluguel
R$ 1.700","Condomínio
R$ 330","IPTU
R$ 0","Seguro incêndio
R$ 22","Taxa de serviço
R$ 34","Total
R$ 2.086","Anúncio novo
Apartamento
Exclusivo
Avenida Rangel Pestana
Brás, São Paulo
30 m² 1 quarto
Aluguel R$ 2.000
Total R$ 2.356"
"Studio para alugar com 1 quarto, 29m²","Rua da Glória, Liberdade, São Paulo",29 m²,1 quarto,Sem vaga,6º andar,Não aceita,Sem mobília,Metrô próx.,"Aluguel
R$ 1.800","Condomínio
R$ 255","IPTU
R$ 10","Seguro incêndio
R$ 23","Taxa de serviço
R$ 36","Total
R$ 2.124","Studio e kitnet
Rua da Glória
Liberdade, São Paulo
29 m² 1 quarto
Aluguel R$ 1.800
Total R$ 2.088"
