Pet,Furniture,Subway,house_type,district,area,bedroom,suite,garage,total,floor_grouped
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,50,1,0,0,1775,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,0,1,1948,20+
Não aceita,Mobiliado,Metrô próx.,Studio,Liberdade,28,1,0,0,2116,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,30,1,0,0,1481,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Liberdade,34,1,0,0,1710,6-10
Não aceita,Mobiliado,Metrô próx.,Studio,Bela Vista,28,1,0,0,2253,0-5
Não aceita,Mobiliado,Metrô próx.,Apartamento,Centro,40,1,0,0,1595,16-20
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,40,1,1,1,2315,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,30,1,0,0,1345,0-5
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Liberdade,57,1,0,0,1967,0-5
Não aceita,Sem mobília,Não próx.,Apartamento,Liberdade,45,1,0,1,1704,0-5
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Brás,32,1,0,1,2221,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,45,1,0,0,2859,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,30,1,0,0,1390,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,31,1,0,1,2669,11-15
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,40,1,0,0,1771,16-20
Não aceita,Mobiliado,Metrô próx.,Studio,Consolação,44,1,0,1,3624,6-10
Aceita pet,Mobiliado,Metrô próx.,Studio,Santa Cecília,32,1,0,0,2277,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,26,1,0,0,1726,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,47,1,0,0,2012,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,41,1,0,0,2601,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,29,1,0,0,2298,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,50,1,0,0,1775,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,47,1,0,0,1406,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Liberdade,34,1,0,0,1464,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,40,1,0,0,1535,0-5
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Brás,30,1,0,0,2086,6-10
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,29,1,0,0,2124,6-10
Não aceita,Mobiliado,Metrô próx.,Studio,Liberdade,28,1,0,0,2534,11-15
Não aceita,Mobiliado,Metrô próx.,Studio,Liberdade,28,1,0,0,2116,6-10
Não aceita,Mobiliado,Metrô próx.,Apartamento,Centro,40,1,0,0,1595,16-20
